Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
na24385_c8_w45_single_3e8_S98_	912027	833108	6.60%	1.90%	0.90%	7.40%	120	49%	42%	148	poor
na24385_c8_w47_single_3e8_S99_	704	616	8.80%	0.00%	0.00%	0.00%	0	46%	39%	149	empty
na24385_c8_w49_single_3e8_S100_	3972708	3590126	27.10%	6.30%	3.10%	2.40%	392	37%	55%	150	good
na24385_c8_w5_single_3e8_S78_	8497	7438	2.20%	0.00%	0.00%	0.00%	1	88%	41%	149	empty
na24385_c8_w7_single_3e8_S79_	2879110	2641456	36.30%	4.10%	2.00%	4.80%	228	47%	56%	151	poor
na24385_c8_w9_single_3e8_S80_	2824083	2560674	20.20%	4.90%	2.50%	10.10%	343	32%	39%	148	poor
na24631_c11_w1_negctrl_3e8_S151_	3106	2740	1.50%	0.00%	0.00%	0.00%	0	83%	40%	152	empty
na24631_c11_w11_single_3e8_S156_	5207289	4743356	18.60%	9.30%	4.60%	0.00%	682	100%	39%	151	poor
na24631_c11_w13_single_3e8_S157_	123623	110182	1.90%	0.30%	0.10%	0.00%	18	100%	37%	151	poor
na24631_c11_w15_single_3e8_S158_	671987	618400	16.20%	1.30%	0.60%	5.60%	88	45%	39%	157	poor
na24631_c11_w17_single_3e8_S159_	387515	353584	6.20%	0.80%	0.40%	1.50%	58	51%	39%	149	good
na24631_c11_w19_single_3e8_S160_	7344624	6654724	26.90%	11.70%	5.80%	0.00%	879	93%	39%	148	poor
na24631_c11_w21_single_3e8_S161_	24456	21974	1.50%	0.10%	0.00%	0.00%	3	96%	50%	150	poor
na24631_c11_w23_single_3e8_S162_	3244831	3005944	17.20%	6.00%	3.00%	2.10%	438	46%	45%	151	poor
na24631_c11_w25_single_3e8_S163_	5566456	4992998	22.00%	9.30%	4.70%	0.70%	701	48%	40%	148	good
na24631_c11_w27_single_3e8_S164_	3756670	3380086	17.30%	6.70%	3.40%	30.00%	500	96%	39%	148	poor
na24631_c11_w29_single_3e8_S165_	699800	645470	7.00%	1.50%	0.70%	0.00%	106	100%	38%	154	poor
